Number,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
493,Yingcheng,CN,71.6,30.93,113.57,40,0,4.47
494,College,US,64.35,64.86,-147.8,6,1,10.29
495,Maltahohe,NA,61.1,-24.83,16.98,28,0,13.11
496,Biltine,TD,84.5,14.53,20.93,33,92,7.29
497,Kutahya,TR,53.6,39.42,29.98,93,40,4.7
498,Balclutha,NZ,48.23,-46.24,169.74,79,32,15.46
499,Wawa,NG,70.91,9.9,4.41,95,76,9.19
502,Liverpool,GB,53.44,53.41,-2.98,93,90,18.34
503,Tynda,RU,43.73,55.15,124.74,67,32,7.18
504,Pilar,AR,47.64,-34.46,-58.91,75,0,3.6
505,Katherine,AU,93.2,-14.47,132.26,20,0,14.99
506,Merta,IN,87.92,26.65,74.03,36,44,8.52
507,Atagay,RU,61.46,55.1,99.39,49,64,3.83
508,Mana,RS,47.34,43.52,20.24,100,0,2.24
509,Bontang,ID,84.59,0.12,117.47,92,44,2.93
510,Lashio,MM,69.83,22.93,97.75,94,92,2.59
511,Ialibu,PG,78.8,-6.28,143.99,54,40,13.87
512,Mazagao,BR,84.2,-0.12,-51.29,74,40,13.87
513,San Patricio,PY,67.13,-26.98,-56.83,98,92,8.41
514,Nome,US,74.07,30.04,-94.42,100,1,3.36
515,Bambanglipuro,ID,88.91,-7.95,110.28,56,0,4.05
516,La Ronge,CA,28.4,55.1,-105.3,74,75,4.27
517,Araouane,ML,83.33,18.9,-3.53,33,64,7.18
518,Hit,IQ,74.33,33.64,42.83,39,0,11.99
520,Arona,IT,48.2,45.76,8.56,81,0,5.82
522,Thinadhoo,MV,80.27,0.53,72.93,100,92,21.5
523,Syracuse,US,54.28,43.05,-76.15,100,75,4.7
525,Buraydah,SA,73.4,26.33,43.97,40,0,2.71
526,Oksfjord,NO,34.74,70.24,22.35,86,76,1.12
527,Avera,US,72.81,33.19,-82.53,89,40,4.38
528,Isangel,VU,71.45,-19.55,169.27,100,100,9.31
529,Tezu,IN,69.83,27.93,96.16,72,20,1.14
530,Haukipudas,FI,32,65.17,25.5,100,92,9.17
531,Rengasdengklok,ID,87.8,-6.16,107.3,58,8,6.93
532,Zhangjiakou,CN,56.6,40.77,114.88,55,0,4.38
534,Puerto del Rosario,ES,72.39,28.5,-13.86,88,0,11.41
535,Soe,EE,41,57.91,26.05,86,92,3.49
536,Gat,SN,77.48,14.69,-16.54,95,0,6.17
537,Zyryanka,RU,34.37,65.73,150.89,80,88,4.94
538,Matara,PE,38.51,-13.74,-72.9,89,24,1.92
539,Lasa,CY,69.17,34.92,32.53,77,68,5.82
540,Dingle,PH,86.93,11,122.67,74,20,4.05
541,Santa Maria,BR,56.51,-29.69,-53.81,99,92,11.43
542,Nikolayevsk-na-amure,RU,49.58,53.14,140.72,83,0,10.42
543,Beringovskiy,RU,46.25,63.05,179.32,97,20,4.94
544,Saint-Francois,FR,39.2,46.42,3.91,86,0,5.73
545,Akureyri,IS,32,65.68,-18.09,89,75,2.24
546,Masunga,BW,50.75,-20.62,27.45,51,0,8.63
547,Mehran,IR,64.4,33.12,46.17,31,0,4.7
548,Kruisfontein,ZA,60.2,-34,24.73,92,0,13.78
549,Gerash,IR,68,27.67,54.14,60,0,2.15
550,Ust-Nera,RU,22.22,64.57,143.24,97,76,2.71
551,Vincennes,US,70.65,38.68,-87.53,83,1,8.75
552,Okha,RU,48.5,53.59,142.95,66,92,16.24
553,Gubkin,RU,46.61,51.28,37.53,85,88,8.63
554,Maicanesti,RO,48.95,45.5,27.5,97,20,2.82
555,Burgeo,CA,49.31,47.61,-57.61,100,0,15.23
556,Rancho Palos Verdes,US,79.45,33.75,-118.37,39,5,5.82
557,Hirado,JP,71.6,33.32,129.49,60,75,2.24
559,Kaitangata,NZ,48.23,-46.28,169.85,79,32,15.46
560,Birao,CF,69.47,10.3,22.78,90,0,2.82
561,Rosarito,CO,74.28,4.91,-75.23,69,90,6.93
562,Beyneu,KZ,41.93,45.32,55.19,84,0,2.82
563,Simao,CN,64.61,22.76,100.79,88,88,3.04
564,Miri,NG,69.29,10.31,9.75,90,0,3.04
565,Swift Current,CA,37.4,50.29,-107.8,86,90,8.05
566,Grand Gaube,MU,71.6,-20.01,57.66,78,75,11.41
567,Dunedin,NZ,44.72,-45.87,170.5,100,92,12.1
569,Dubbo,AU,78.8,-32.25,148.6,22,0,8.05
570,Lorengau,PG,84.41,-2.02,147.27,100,36,6.73
571,Wanaka,NZ,49.85,-44.7,169.14,59,80,2.71
572,Boundiali,CI,70.64,9.53,-6.48,95,44,4.94
573,Cobija,BR,76.4,-11.02,-68.77,89,20,2.93
574,Sivaki,RU,51.65,52.63,126.75,55,0,10.65
575,Kalemie,CD,78.74,-5.95,29.2,90,76,12.88
576,Kamra,PK,71.6,33.86,72.39,68,0,4.27
577,Fort Frances,CA,37.94,48.61,-93.4,89,40,3.36
578,Sao Raimundo das Mangabeiras,BR,87.2,-7.02,-45.48,37,64,10.42
579,Tsabong,BW,62.9,-26.02,22.4,33,0,8.75
580,Porto Torres,IT,59,40.84,8.4,82,20,3.36
581,Soyo,AO,73.16,-6.13,12.37,92,76,2.71
582,Daru,SL,72.98,7.99,-10.85,96,56,5.61
583,Pandan,PH,83.78,11.72,122.09,100,20,4.72
584,Santa catarina de Tepehuanes,MX,54.98,25.34,-105.72,99,44,2.71
585,Longkou,CN,71.99,37.64,120.47,86,0,6.73
586,Bubaque,GW,79.28,11.28,-15.83,100,36,7.29
587,Karwar,IN,76.4,14.8,74.13,89,44,2.71
588,Zunheboto,IN,68.03,26.02,94.53,89,36,1.36
590,Banjar,ID,84.05,-7.37,108.54,61,8,3.6
591,Guerrero,AR,59,-24.19,-65.45,72,90,17.22
592,Ravar,IR,45.98,31.27,56.81,39,0,2.15
594,Seoul,KR,65.3,37.57,126.98,45,20,6.93
595,Mizdah,LY,71.9,31.45,12.98,41,92,4.72
597,Fare,PF,75.86,-16.7,-151.02,100,64,10.31
